//************************************************
// File Format Version 3.2
// Janus Release 3.2.3
// Acquisition Mode: Spectroscopy
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Oct 15 18:38:55 2025 UTC
// Run info format:
// Detector Run Date LocalTime Location DetectorPositionXYZ Theta Phi PlaneSeparation MinADC
//************************************************
COMMENTS: 
ATHAB 116 15OCT2025 18:38:55 Pyramid 3.0 25.0 0.8 0.0 0.0 0.86 100 
		Tstamp_us	   TrgID	     Brd	      Ch	      LG	      HG
		16033.600	       0	      00	      07	    1300	    5517
		16033.608	       0	      02	      11	     789	    2559
		16033.608	       0	      02	      12	     916	    3019
		16033.568	       0	      04	      03	    1187	    1565
		16033.568	       0	      04	      04	     594	     119
		16033.616	       0	      01	      26	    1906	    8050
		16033.616	       0	      01	      27	      98	     401
		16033.592	       0	      03	      26	    1405	    3626
		16033.592	       0	      03	      27	    1027	    2407
		16033.552	       0	      05	      25	    1004	       0
		16033.552	       0	      05	      26	     845	       0
		20435.944	       1	      00	      17	    1218	    5299
		20435.944	       1	      00	      18	    1120	    4913
		20435.944	       1	      02	      19	     961	    3535
		20435.944	       1	      02	      20	    2003	    7389
		20435.912	       1	      04	      15	    1574	    2702
		20435.960	       1	      01	      03	    1353	    6109
		20435.960	       1	      01	      04	     652	    2828
		20435.920	       1	      03	      03	    1700	    6025
		20435.888	       1	      05	      03	     687	       0
		20435.888	       1	      05	      04	    1135	     852
		28149.800	       2	      00	      10	     472	    2059
		68791.560	       3	      00	      08	     537	    2446
		72298.248	       4	      00	      15	     953	    4181
		72298.248	       4	      00	      16	    1271	    5413
		72298.208	       4	      04	      16	    1600	    3298
		72298.208	       4	      04	      17	    1501	    2918
		72298.264	       4	      01	      04	    2248	    8087
		72298.264	       4	      01	      05	     807	    3617
		72298.264	       4	      01	      06	      75	     336
		72298.200	       4	      05	      18	    1336	    1106
		72298.200	       4	      05	      19	    1392	    1284
		72339.800	       5	      00	      14	     569	    2438
		76012.128	       6	      00	      07	    1128	    4587
		81178.624	       7	      00	      10	     626	    2737
		98593.960	       8	      00	      02	     569	    2598
		98593.960	       8	      00	      03	    1757	    7502
		98593.968	       8	      02	      04	    1118	    3701
		98593.968	       8	      02	      05	    1024	    3422
		98593.928	       8	      04	      01	    1975	    4316
		98593.928	       8	      04	      02	     226	       7
		98593.984	       8	      01	      24	     112	     391
		98593.984	       8	      01	      25	    1387	    5988
		98593.944	       8	      03	      22	     360	     748
		98593.944	       8	      03	      23	    1741	    5251
		98593.912	       8	      05	      27	    1423	    1295
		100536.240	       9	      00	      14	      79	     301
		100536.240	       9	      00	      21	     933	    4204
		100536.240	       9	      00	      22	     597	    2614
		100536.248	       9	      02	      25	    2002	    6723
		100536.208	       9	      04	      18	     667	       0
		100536.208	       9	      04	      19	     186	      12
		100536.256	       9	      01	      43	     874	    3904
		100536.256	       9	      01	      44	    1336	    5772
		100536.224	       9	      03	      40	    1499	    3959
		100536.192	       9	      05	      46	    1887	    3431
		100536.192	       9	      05	      47	    2728	    5766
		107794.976	      10	      00	      22	      91	     330
		107794.976	      10	      00	      23	    2419	    8032
		107794.976	      10	      00	      24	     378	    1566
		107794.976	      10	      02	      14	     122	     357
		107794.976	      10	      02	      15	    2513	    8092
		107794.992	      10	      01	      22	     128	     661
		107794.992	      10	      01	      23	    3836	    8137
		107794.992	      10	      01	      24	     471	    2194
		107794.960	      10	      03	      31	    2391	    7750
		107794.960	      10	      03	      32	    1312	    3873
		110664.336	      11	      00	      09	    2263	    8010
		110664.336	      11	      02	      07	     778	    2895
		110664.336	      11	      02	      08	    1066	    4161
		110664.360	      11	      01	      01	     822	    3566
		110664.360	      11	      01	      02	    1794	    7938
		110664.320	      11	      03	      07	    2056	    6997
		110664.320	      11	      03	      08	    2165	    7480
		116027.152	      12	      00	      08	     711	    3067
		116027.152	      12	      00	      09	     397	    1830
		118772.752	      13	      00	      25	     649	    2666
		118772.752	      13	      00	      26	     105	     374
		119425.312	      14	      00	      10	     647	    2825
		135481.464	      15	      00	      03	    1010	    4473
		135481.464	      15	      00	      04	     828	    3669
		135481.472	      15	      02	      06	     774	    2203
		135481.472	      15	      02	      07	    1265	    4136
		135481.432	      15	      04	      00	    1448	    2481
		135481.432	      15	      04	      01	     759	       0
		135481.488	      15	      01	      29	     878	    3880
		135481.488	      15	      01	      30	    1151	    4921
		135481.448	      15	      03	      30	    1527	    4703
		135481.448	      15	      03	      31	     425	     855
		147228.272	      16	      00	      22	     980	    4164
		147228.272	      16	      00	      23	    1116	    4919
		147228.272	      16	      00	      24	      86	     311
		147228.272	      16	      02	      20	     166	     541
		147228.272	      16	      02	      21	    3684	    8022
		147228.272	      16	      02	      22	    1725	    6442
		147228.272	      16	      02	      23	     106	     301
		147228.240	      16	      04	      24	    2375	    5492
		147228.296	      16	      01	      16	     660	    2913
		147228.296	      16	      01	      17	    1728	    7778
		147228.248	      16	      03	      09	    1113	    3493
		147228.248	      16	      03	      10	    3888	    8046
		147228.248	      16	      03	      11	    1349	    4302
		147228.224	      16	      05	      24	    1094	     213
		167923.584	      17	      00	      14	     735	    3254
		173231.896	      18	      00	      24	     832	    3646
		173231.896	      18	      00	      25	    1355	    5694
		173231.904	      18	      02	      25	    1174	    4210
		173231.904	      18	      02	      26	    1031	    3623
		173231.864	      18	      04	      24	    1618	    3385
		173231.864	      18	      04	      25	     714	     229
		173231.912	      18	      01	      08	     762	    3227
		173231.912	      18	      01	      09	    1020	    4589
		173231.880	      18	      03	      08	     934	    2680
		173231.880	      18	      03	      09	     688	    1934
		173231.848	      18	      05	      08	     967	     217
		173231.848	      18	      05	      09	     827	       0
		181800.520	      19	      00	      00	     751	    3219
		206788.752	      20	      00	      20	     749	    3393
		256531.032	      21	      00	      04	    1665	    7101
		256531.040	      21	      02	      02	    1322	    4494
		256530.992	      21	      04	      06	    1250	    2020
		256530.992	      21	      04	      07	     554	      61
		256531.048	      21	      01	      26	     377	    1651
		256531.048	      21	      01	      27	    1299	    5518
		256531.008	      21	      03	      24	     442	    1184
		256531.008	      21	      03	      25	    1054	    3213
		256530.976	      21	      05	      28	    1032	     371
		256530.976	      21	      05	      29	     838	       0
		262089.144	      22	      00	      00	    1745	    7577
		262089.112	      22	      04	      02	    1274	    1889
		262089.112	      22	      04	      03	     740	     183
		262089.096	      22	      05	      18	    1874	    3583
		263437.840	      23	      00	      12	     944	    3964
		263437.840	      23	      00	      13	    1217	    5162
		263437.848	      23	      02	      15	    1381	    4591
		263437.848	      23	      02	      16	    2054	    7424
		263437.808	      23	      04	      10	    1750	    3734
		263437.808	      23	      04	      11	     151	      77
		263437.864	      23	      01	      20	    1964	    8074
		263437.864	      23	      01	      21	      86	     307
		263437.824	      23	      03	      27	    2368	    7862
		263437.792	      23	      05	      13	    1017	     175
		263437.792	      23	      05	      14	    1015	      10
		263693.928	      24	      00	      00	     581	    2592
		268924.456	      25	      00	      21	    3132	    8036
		268924.464	      25	      02	      15	     856	    3060
		268924.464	      25	      02	      16	    2133	    7698
		268924.424	      25	      04	      25	     300	     436
		268924.424	      25	      04	      26	    1664	    3565
		268924.472	      25	      01	      33	      73	     334
		268924.472	      25	      01	      34	    1686	    7445
		268924.472	      25	      01	      35	    3172	    8023
		268924.472	      25	      01	      36	     115	     490
		268924.440	      25	      03	      28	    1980	    6655
		272343.872	      26	      00	      16	     577	    2433
		272343.896	      26	      01	      46	     209	     824
		278236.936	      27	      00	      02	     158	     660
		278236.936	      27	      00	      03	    1751	    7419
		278236.904	      27	      04	      09	    2303	    5678
		278236.904	      27	      04	      10	     322	     272
		278236.960	      27	      01	      28	     481	    2155
		278236.960	      27	      01	      29	    2046	    8102
		278236.888	      27	      05	      25	     538	       0
		278236.888	      27	      05	      26	    2008	    3604
		278493.576	      28	      00	      02	     966	    4293
		278493.576	      28	      00	      03	     667	    2961
		278493.544	      28	      04	      02	     590	       0
		278493.544	      28	      04	      03	    1247	    1370
		278493.600	      28	      01	      41	     514	    2184
		278493.600	      28	      01	      42	    1234	    5274
		278493.520	      28	      05	      37	     566	       0
		278493.520	      28	      05	      38	     864	       0
		281912.168	      29	      00	      26	    3494	    8050
		281912.136	      29	      04	      20	    2531	    6530
		281912.136	      29	      04	      21	     781	     323
		281912.184	      29	      01	      14	     311	    1401
		281912.184	      29	      01	      15	    2607	    8090
		281912.120	      29	      05	      13	    1733	    3268
		281912.120	      29	      05	      14	     697	       0
		289259.976	      30	      00	      10	     700	    3146
		289259.976	      30	      00	      11	    3172	    8069
		289259.976	      30	      00	      12	     111	     404
		289259.984	      30	      02	      21	     122	     351
		289259.984	      30	      02	      22	    2603	    8068
		289259.984	      30	      02	      23	    3400	    8036
		289259.984	      30	      02	      24	     157	     351
		289260.000	      30	      01	      36	     276	    1300
		289260.000	      30	      01	      40	    1713	    7659
		289260.000	      30	      01	      41	    1288	    5608
		289259.968	      30	      03	      17	    1044	    2978
		289259.968	      30	      03	      32	    2643	    8091
		289259.968	      30	      03	      33	    1363	    4124
		291235.648	      31	      00	      19	     734	    3182
		291235.648	      31	      00	      20	    1575	    6637
		291235.648	      31	      02	      13	     424	    1478
		291235.648	      31	      02	      14	    2119	    7735
		291235.616	      31	      04	      25	     871	       0
		291235.616	      31	      04	      26	    1483	    1995
		291235.672	      31	      01	      14	     345	    1435
		291235.672	      31	      01	      15	    2911	    8090
		291235.632	      31	      03	      14	    1632	    5666
		291235.632	      31	      03	      15	    1739	    5909
		311473.696	      32	      00	      02	    1125	    4932
		311473.696	      32	      00	      03	      93	     409
		333149.304	      33	      00	      01	     625	    2597
		339547.504	      34	      00	      25	    1131	    4781
		339547.504	      34	      00	      26	     857	    3708
		339547.512	      34	      02	      22	     473	    1372
		339547.512	      34	      02	      23	    2708	    8036
		339547.528	      34	      01	      14	     312	    1377
		339547.496	      34	      03	      15	    1033	    2458
		339547.496	      34	      03	      16	     907	    1955
		340827.448	      35	      00	      00	     673	    2793
		343484.056	      36	      00	      19	    1795	    7613
		343484.056	      36	      00	      20	     802	    3381
		343484.064	      36	      02	      09	     873	    2771
